,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,season,PPG
209,174,Josh Green,SG,22,DAL,43,1058,12.7,0.666,0.464,0.322,4.3,9.0,6.6,9.6,1.7,0.3,12.6,14.6,,1.8,0.7,2.5,0.112,,-1.3,-0.1,-1.4,0.1,greenjo02,2223,8.8
210,175,AJ Griffin,SF,19,ATL,58,1169,12.6,0.58,0.489,0.073,2.4,8.7,5.5,6.9,1.6,0.5,6.8,17.6,,1.1,0.8,1.8,0.076,,-0.4,-0.3,-0.7,0.4,griffaj01,2223,8.9
211,176,Blake Griffin,C,33,BOS,27,380,12.7,0.612,0.521,0.255,7.0,18.9,13.0,12.1,1.0,1.1,11.8,13.7,,0.6,0.5,1.1,0.139,,-1.4,0.7,-0.8,0.1,griffbl01,2223,4.6
212,177,Quentin Grimes,SG,22,NYK,52,1543,10.2,0.583,0.654,0.171,2.8,9.2,6.0,8.9,1.1,1.3,10.6,13.7,,1.6,1.2,2.8,0.087,,-1.2,0.4,-0.9,0.4,grimequ01,2223,10.1
213,178,Rui Hachimura,PF,24,TOT,44,1072,13.2,0.55,0.271,0.219,3.9,16.3,10.3,6.2,0.7,1.3,8.1,21.2,,0.3,0.9,1.1,0.051,,-1.1,-1.2,-2.4,-0.1,hachiru01,2223,10.2
214,178,Rui Hachimura,PF,24,WAS,30,728,13.7,0.558,0.275,0.179,3.0,15.9,9.8,7.4,0.7,1.4,9.3,23.0,,0.1,0.6,0.7,0.045,,-1.0,-1.4,-2.5,-0.1,hachiru01,2223,10.2
215,178,Rui Hachimura,PF,24,LAL,14,344,12.2,0.529,0.263,0.331,5.7,17.0,11.6,3.6,0.5,1.0,4.9,17.4,,0.2,0.3,0.5,0.065,,-1.4,-0.8,-2.2,0.0,hachiru01,2223,10.2
216,179,Tyrese Haliburton,PG,22,IND,51,1713,23.0,0.614,0.48,0.225,2.1,10.2,6.1,46.9,2.4,1.2,13.4,23.6,,5.4,1.4,6.7,0.189,,6.5,0.4,6.9,3.8,halibty01,2223,20.8
217,180,Jordan Hall,SF,21,SAS,9,83,5.6,0.438,0.536,0.321,3.8,12.5,8.0,17.0,0.6,0.0,18.0,19.4,,-0.1,0.0,-0.1,-0.077,,-4.7,-3.1,-7.8,-0.1,halljo02,2223,3.1
218,181,R.J. Hampton,PG,21,TOT,28,389,11.9,0.554,0.467,0.308,2.6,10.2,6.4,13.0,2.2,1.2,13.9,17.6,,0.1,0.4,0.5,0.064,,-2.1,0.4,-1.7,0.0,hamptrj01,2223,6.0
